iter	Passed	Remaining
0	1	109
1	2	102
2	3	100
3	4	96
4	5	96
5	6	97
6	7	97
7	8	93
8	9	92
9	10	91
10	11	91
11	12	91
12	13	90
13	15	93
14	16	92
15	17	91
16	18	89
17	19	88
18	20	86
19	21	85
20	22	84
21	23	83
22	24	82
23	25	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	34	75
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	59	49
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	104	1
99	105	0
