iter	Passed	Remaining
0	139	139665
1	142	71141
2	144	47990
3	146	36465
4	148	29481
5	151	25146
6	153	21843
7	157	19478
8	158	17485
9	160	15893
10	162	14579
11	167	13816
12	170	12956
13	172	12155
14	174	11451
15	177	10946
16	182	10560
17	185	10128
18	187	9699
19	189	9287
20	191	8947
21	194	8666
22	198	8413
23	199	8126
24	201	7866
25	203	7618
26	206	7440
27	209	7272
28	212	7110
29	214	6939
30	216	6780
31	219	6627
32	223	6545
33	226	6436
34	228	6297
35	230	6163
36	231	6031
37	233	5915
38	238	5887
39	242	5810
40	244	5717
41	246	5612
42	248	5522
43	252	5479
44	254	5401
45	257	5335
46	258	5247
47	260	5164
48	261	5083
49	266	5072
50	270	5039
51	273	4982
52	275	4917
53	276	4847
54	280	4813
55	283	4784
56	286	4743
57	288	4692
58	290	4641
59	292	4587
60	297	4574
61	299	4524
62	302	4492
63	303	4444
64	305	4393
65	307	4348
66	310	4326
67	314	4310
68	316	4271
69	318	4228
70	320	4187
71	321	4146
72	323	4108
73	327	4101
74	329	4062
75	331	4031
76	333	3993
77	334	3958
78	336	3925
79	338	3897
80	341	3872
81	343	3842
82	344	3801
83	345	3771
84	347	3744
85	349	3716
86	351	3689
87	353	3662
88	355	3638
89	357	3612
90	359	3586
91	360	3561
92	362	3534
93	364	3510
94	366	3488
95	367	3461
96	369	3443
97	371	3422
98	373	3401
99	375	3375
100	377	3356
101	379	3337
102	381	3322
103	384	3309
104	386	3293
105	388	3273
106	389	3254
107	391	3232
108	393	3213
109	394	3193
110	396	3176
111	399	3169
112	401	3150
113	403	3135
114	405	3120
115	408	3110
116	409	3090
117	411	3074
118	413	3064
119	415	3047
120	417	3031
121	418	3013
122	421	3002
123	422	2986
124	424	2973
125	427	2963
126	430	2958
127	432	2943
128	434	2931
129	436	2918
130	437	2903
131	439	2892
132	441	2878
133	444	2869
134	446	2858
135	447	2845
136	449	2833
137	451	2818
138	453	2807
139	454	2794
140	458	2790
141	459	2778
142	462	2769
143	463	2757
144	465	2744
145	467	2735
146	469	2725
147	471	2716
148	474	2709
149	476	2699
150	477	2687
151	480	2678
152	481	2666
153	483	2657
154	485	2646
155	488	2643
156	491	2639
157	493	2629
158	499	2642
159	501	2634
160	502	2619
161	506	2619
162	508	2613
163	512	2610
164	513	2600
165	515	2590
166	517	2582
167	526	2607
168	528	2600
169	531	2593
170	533	2585
171	543	2614
172	545	2608
173	547	2600
174	551	2599
175	558	2614
176	560	2604
177	562	2597
178	564	2589
179	573	2611
180	575	2603
181	577	2596
182	582	2601
183	590	2616
184	592	2609
185	594	2601
186	597	2598
187	601	2598
188	603	2590
189	605	2582
190	608	2576
191	614	2585
192	618	2584
193	620	2576
194	625	2580
195	627	2574
196	631	2575
197	633	2566
198	635	2558
199	640	2563
200	643	2557
201	645	2551
202	648	2545
203	650	2537
204	656	2545
205	659	2540
206	661	2534
207	663	2527
208	665	2519
209	670	2522
210	672	2515
211	675	2511
212	678	2506
213	680	2499
214	687	2509
215	690	2505
216	692	2500
217	694	2491
218	696	2482
219	701	2485
220	703	2478
221	706	2477
222	709	2470
223	711	2463
224	714	2459
225	715	2451
226	718	2447
227	720	2438
228	722	2430
229	724	2424
230	726	2418
231	728	2412
232	731	2406
233	732	2398
234	734	2391
235	736	2385
236	738	2377
237	739	2369
238	741	2361
239	744	2358
240	746	2351
241	748	2345
242	750	2337
243	752	2329
244	753	2322
245	755	2314
246	756	2306
247	759	2303
248	762	2300
249	765	2296
250	767	2291
251	770	2286
252	771	2278
253	774	2273
254	775	2266
255	777	2259
256	778	2251
257	780	2244
258	782	2237
259	784	2231
260	785	2225
261	787	2219
262	790	2214
263	792	2208
264	793	2201
265	795	2196
266	797	2189
267	798	2182
268	801	2176
269	804	2173
270	806	2169
271	808	2163
272	810	2157
273	811	2151
274	813	2144
275	815	2139
276	817	2132
277	819	2128
278	822	2125
279	825	2123
280	828	2118
281	830	2113
282	831	2107
283	835	2107
284	838	2103
285	840	2097
286	843	2095
287	845	2089
288	847	2084
289	852	2087
290	854	2082
291	856	2077
292	859	2073
293	862	2071
294	866	2071
295	868	2066
296	870	2061
297	872	2054
298	875	2051
299	876	2045
300	879	2041
301	882	2040
302	884	2034
303	885	2028
304	888	2024
305	890	2020
306	892	2014
307	895	2012
308	898	2009
309	900	2005
310	903	2000
311	904	1995
312	906	1989
313	908	1983
314	909	1977
315	911	1973
316	913	1968
317	915	1963
318	917	1959
319	920	1955
320	921	1949
321	923	1944
322	927	1943
323	928	1938
324	930	1932
325	932	1928
326	934	1922
327	935	1917
328	937	1912
329	939	1907
330	942	1904
331	944	1900
332	946	1896
333	948	1891
334	950	1886
335	953	1884
336	958	1886
337	960	1880
338	962	1875
339	963	1870
340	965	1865
341	968	1863
342	971	1860
343	973	1856
344	975	1852
345	977	1847
346	979	1843
347	981	1838
348	983	1833
349	984	1828
350	987	1825
351	989	1821
352	993	1820
353	995	1816
354	996	1811
355	999	1807
356	1002	1804
357	1003	1800
358	1005	1795
359	1008	1792
360	1010	1788
361	1011	1783
362	1014	1781
363	1017	1777
364	1019	1773
365	1020	1768
366	1023	1764
367	1025	1761
368	1029	1760
369	1031	1756
370	1033	1751
371	1034	1746
372	1036	1742
373	1038	1737
374	1040	1733
375	1042	1729
376	1044	1726
377	1046	1721
378	1047	1717
379	1049	1712
380	1051	1707
381	1052	1702
382	1054	1698
383	1055	1693
384	1057	1689
385	1059	1685
386	1062	1682
387	1064	1679
388	1066	1674
389	1069	1672
390	1071	1668
391	1077	1670
392	1080	1668
393	1082	1664
394	1083	1659
395	1085	1656
396	1087	1651
397	1089	1647
398	1091	1644
399	1093	1640
400	1096	1638
401	1098	1633
402	1099	1629
403	1105	1631
404	1109	1629
405	1110	1625
406	1113	1621
407	1115	1618
408	1117	1615
409	1120	1611
410	1122	1608
411	1124	1604
412	1126	1600
413	1127	1596
414	1129	1592
415	1131	1588
416	1134	1585
417	1136	1581
418	1137	1577
419	1139	1574
420	1141	1570
421	1143	1566
422	1145	1562
423	1148	1560
424	1150	1556
425	1152	1552
426	1154	1548
427	1155	1544
428	1158	1541
429	1160	1537
430	1161	1533
431	1164	1530
432	1166	1527
433	1168	1523
434	1169	1519
435	1171	1515
436	1175	1514
437	1176	1510
438	1178	1506
439	1180	1502
440	1182	1498
441	1184	1494
442	1185	1490
443	1187	1487
444	1188	1482
445	1190	1479
446	1192	1475
447	1195	1472
448	1196	1468
449	1198	1465
450	1200	1461
451	1202	1457
452	1203	1453
453	1205	1449
454	1207	1446
455	1209	1443
456	1212	1440
457	1213	1436
458	1215	1432
459	1217	1429
460	1220	1427
461	1222	1424
462	1224	1420
463	1226	1417
464	1228	1413
465	1230	1409
466	1231	1405
467	1233	1402
468	1235	1398
469	1238	1396
470	1240	1392
471	1241	1389
472	1243	1385
473	1245	1382
474	1248	1379
475	1250	1376
476	1253	1373
477	1254	1370
478	1256	1366
479	1258	1363
480	1260	1360
481	1262	1356
482	1264	1353
483	1266	1350
484	1268	1347
485	1270	1343
486	1271	1339
487	1273	1336
488	1274	1332
489	1277	1329
490	1279	1326
491	1281	1322
492	1283	1320
493	1285	1316
494	1287	1313
495	1289	1310
496	1291	1307
497	1293	1303
